Title20,ISO_ABBREV,TITLE,ISSN,ISSUES/YEAR,COUNTRY,LANGUAGE,1ST_YR_PUB,categories,TOT_CITES,CITES_JCR_YR,CITES_JCR_YR1,CITES_JCR_YR2,IF_NUMERATOR,CITES_JCR_YR3,CITES_JCR_YR4,CITES_JCR_YR5,5YR_IF_NUMERATOR,ITEMS_JCR_YR,ITEMS_JCR_YR1,ITEMS_JCR_YR2,IF_DENOMINATOR,ITEMS_JCR_YR3,ITEMS_JCR_YR4,ITEMS_JCR_YR5,5YR_IF_DENOMINATOR,IMPACT_FACTOR,IMMEDIACY_INDEX,CITED_HALF_LIFE,5YR_IMPACT_FACTOR,EIGENFACTOR,NORMEIGENFACTOR,ARTL_INFLUENCE,FREQUENCY,PUBCODE,PUBLISHER_NAME,CATEGORY_CODE,CATEGORY_DESCRIPTION,CATEGORY_RANKING,QUARTILE_RANK,JIF_PERCENTILE
Z MED PHYS,Z. Med. Phys.,Zeitschrift fur Medizinische Physik,0939-3889,4,GERMANY (FED REP GER),GERMAN,1994,VY,348,13,50,73,123,68,25,24,240,34,30,29,59,25,28,26,138,2.085,0.382,3.6,1.739,0.00128,0.14541,0.611,Q,ZX450,"ELSEVIER GMBH, URBAN & FISCHER VERLAG",VY,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",54/124,Q2,56.855
ADAPT PHYS ACT Q,Adapt. Phys. Act. Q.,ADAPTED PHYSICAL ACTIVITY QUARTERLY,0736-5829,4,USA,ENGLISH,1984,WC XW,646,8,27,31,58,23,33,31,145,20,20,19,39,18,20,20,97,1.487,0.400,>10,1.495,0.00055,0.06315,0.378,Q,LR798,HUMAN KINETICS PUBL INC,WC,REHABILITATION,32/65,Q2,51.538
BRAIN INJURY,Brain Inj.,BRAIN INJURY,0269-9052,14,ENGLAND,ENGLISH,1987,RU WC,5032,51,265,433,698,347,307,343,1695,208,177,206,383,127,139,136,785,1.822,0.245,8.4,2.159,0.00751,0.85555,0.632,M,ZA463,TAYLOR & FRANCIS INC,WC,REHABILITATION,17/65,Q2,74.615
CAN J OCCUP THER,Can. J. Occup. Ther.,Canadian Journal of Occupational Therapy-Revue Canadienne d Ergotherapie,0008-4174,5,CANADA,ENGLISH,1933,WC,879,11,30,36,66,64,49,42,221,27,28,28,56,31,35,29,151,1.179,0.407,>10,1.464,0.00090,0.10266,0.394,B,WH001,SAGE PUBLICATIONS INC,WC,REHABILITATION,41/65,Q3,37.692
DISABIL REHABIL,Disabil. Rehabil.,DISABILITY AND REHABILITATION,0963-8288,26,ENGLAND,ENGLISH,1979,WC,6710,102,455,616,1071,676,566,540,2853,290,286,272,558,277,275,263,1373,1.919,0.352,6.7,2.078,0.01328,1.51376,0.640,F,ZA501,TAYLOR & FRANCIS LTD,WC,REHABILITATION,14/65,Q1,79.231
EUR J PHYS REHAB MED,Eur. J. Phys. Rehabil. Med.,European Journal of Physical and Rehabilitation Medicine,1973-9087,6,ITALY,ENGLISH,1965,WC,1001,27,118,208,326,155,98,168,747,84,72,86,158,69,60,57,344,2.063,0.321,4,2.172,0.00297,0.33861,0.571,B,JD501,EDIZIONI MINERVA MEDICA,WC,REHABILITATION,12/65,Q1,82.308
HONG KONG J OCCUP TH,Hong Kong J. Occup. Ther.,Hong Kong Journal of Occupational Therapy,1569-1861,2,CHINA MAINLAND,ENGLISH,1985,WC,50,0,2,6,8,13,6,4,31,13,11,12,23,12,11,10,56,0.348,0.000,,0.554,0.00013,0.01434,0.149,H,ABO24,ELSEVIER SINGAPORE PTE LTD,WC,REHABILITATION,62/65,Q4,5.385
BEHAV PROCESS,Behav. Processes,BEHAVIOURAL PROCESSES,0376-6357,9,NETHERLANDS,ENGLISH,1977,CN ZM,3412,69,245,240,485,228,240,272,1225,206,203,165,368,149,127,155,799,1.318,0.335,7.5,1.533,0.00606,0.69128,0.502,M,JM901,ELSEVIER SCIENCE BV,ZM,ZOOLOGY,57/161,Q2,64.907
BEHAVIOUR,Behaviour,BEHAVIOUR,0005-7959,14,NETHERLANDS,MULTI-LANGUAGE,1947,CN ZM,4869,44,107,127,234,112,144,158,648,97,96,82,178,66,71,97,412,1.315,0.454,>10,1.573,0.00332,0.37897,0.534,M,IX501,BRILL ACADEMIC PUBLISHERS,ZM,ZOOLOGY,58/161,Q2,64.286
BELG J ZOOL,Belg. J. Zool.,BELGIAN JOURNAL OF ZOOLOGY,0777-6276,2,BELGIUM,MULTI-LANGUAGE,1863,ZM,377,0,4,10,14,15,13,15,57,12,11,13,24,18,18,29,89,0.583,0.000,>10,0.640,0.00027,0.03068,0.200,H,IT525,ROYAL BELGIAN ZOOLOGICAL SOC,ZM,ZOOLOGY,128/161,Q4,20.807
GAYANA,Gayana,GAYANA,0717-6538,2,CHILE,MULTI-LANGUAGE,1936,ZM,271,2,4,6,10,24,9,9,52,20,18,17,35,28,17,17,97,0.286,0.100,9.9,0.536,0.00021,0.02417,0.145,H,AAH81,"EDICIONES UNIV, CONCEPCION",ZM,ZOOLOGY,152/161,Q4,5.901
HYSTRIX,Hystrix,HYSTRIX-Italian Journal of Mammalogy,0394-1914,2,ITALY,ITALIAN,1989,ZM,457,3,29,192,221,30,25,29,305,24,24,27,51,23,31,23,128,4.333,0.125,3.1,2.383,0.00150,0.17095,0.775,H,AAO47,ASSOC TERIOLOGICA ITALIANA,ZM,ZOOLOGY,4/161,Q1,97.826
IHERINGIA SER ZOOL,Iheringia Ser. Zool.,IHERINGIA SERIE ZOOLOGIA,0073-4721,2,BRAZIL,PORTUGUESE,1957,ZM,568,2,9,15,24,43,22,47,136,44,60,51,111,59,44,60,274,0.216,0.045,8.9,0.496,0.00071,0.08134,0.172,H,AAB61,"FUNDACAO ZOOBOTANICA  RIO GRANDE SUL, MUSEU CIENCIAS NATURA",ZM,ZOOLOGY,154/161,Q4,4.658
INTEGR COMP BIOL,Integr. Comp. Biol.,INTEGRATIVE AND COMPARATIVE BIOLOGY,1540-7063,6,USA,ENGLISH,2002,ZM,4134,85,208,342,550,230,347,397,1524,96,103,83,186,72,87,88,433,2.957,0.885,8.5,3.520,0.00911,1.03848,1.391,B,TT126,OXFORD UNIV PRESS INC,ZM,ZOOLOGY,11/161,Q1,93.478
J CONCHOL,J. Conchol.,JOURNAL OF CONCHOLOGY,0022-0019,2,ENGLAND,ENGLISH,1874,PI ZM,280,6,7,12,19,12,15,10,56,19,22,28,50,16,24,23,113,0.380,0.316,>10,0.496,0.00026,0.02919,0.150,H,HV726,CONCHOLOGICAL SOC GREAT BRITAIN & IRELAND,ZM,ZOOLOGY,146/161,Q4,9.627
J EXP ZOOL PART B,J. Exp. Zool. Part B,JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,1552-5007,8,USA,ENGLISH,2003,HT HY ZM,1435,49,88,112,200,119,86,104,509,58,48,48,96,55,50,56,257,2.083,0.845,6.7,1.981,0.00306,0.34899,0.788,B,FL501,WILEY-BLACKWELL,ZM,ZOOLOGY,25/161,Q1,84.783
BIODRUGS,Biodrugs,BIODRUGS,1173-8804,6,NEW ZEALAND,ENGLISH,1994,DM NI TU,1188,13,101,180,281,103,60,152,596,32,47,51,98,38,45,44,225,2.867,0.406,5.9,2.649,0.00214,0.24337,0.628,B,AO710,ADIS INT LTD,TU,PHARMACOLOGY & PHARMACY,85/255,Q2,66.863
CANCER BIOTHER RADIO,Cancer Biother. Radiopharm.,CANCER BIOTHERAPY AND RADIOPHARMACEUTICALS,1084-9785,10,USA,ENGLISH,1996,DM QA TU VY,1440,12,94,177,271,148,97,159,675,58,61,97,158,92,84,88,422,1.715,0.207,6.2,1.600,0.00250,0.28461,0.391,M,PZ785,"MARY ANN LIEBERT, INC",TU,PHARMACOLOGY & PHARMACY,173/255,Q3,32.353
CHEMMEDCHEM,ChemMedChem,ChemMedChem,1860-7179,12,GERMANY (FED REP GER),ENGLISH,2006,DX TU,5072,143,780,594,1374,648,630,539,3191,183,270,191,461,212,226,205,1104,2.980,0.781,4.6,2.890,0.01312,1.49502,0.786,M,ZY080,WILEY-V C H VERLAG GMBH,TU,PHARMACOLOGY & PHARMACY,77/255,Q2,70
CHIN MED-UK,Chin. Med.,Chinese Medicine,1749-8546,12,ENGLAND,ENGLISH,2006,OI TU,546,7,51,28,79,63,140,115,397,38,27,23,50,28,42,0,120,1.580,0.184,4.9,,0.00134,0.15279,,M,FI745,BIOMED CENTRAL LTD,TU,PHARMACOLOGY & PHARMACY,185/255,Q3,27.647
CLIN EXP HYPERTENS,Clin. Exp. Hypertens.,CLINICAL AND EXPERIMENTAL HYPERTENSION,1064-1963,8,USA,ENGLISH,1978,TU ZD,1369,17,128,119,247,110,91,102,550,104,93,96,189,92,80,86,447,1.307,0.163,7.9,1.230,0.00188,0.21435,0.278,B,ZA463,TAYLOR & FRANCIS INC,TU,PHARMACOLOGY & PHARMACY,205/255,Q4,19.804
CLIN PHARMACOKINET,Clin. Pharmacokinet.,CLINICAL PHARMACOKINETICS,0312-5963,12,NEW ZEALAND,ENGLISH,1976,TU,6640,86,377,386,763,333,345,441,1882,86,81,77,158,54,55,55,322,4.829,1.000,>10,5.845,0.00808,0.92107,1.660,M,AO710,ADIS INT LTD,TU,PHARMACOLOGY & PHARMACY,26/255,Q1,90
CURR DRUG DELIV,Curr. Drug Deliv.,Current Drug Delivery,1567-2018,5,U ARAB EMIRATES,ENGLISH,2004,TU,1201,17,96,118,214,156,176,64,610,58,70,78,148,60,65,0,273,1.446,0.293,5.6,,0.00188,0.21376,,B,FF475,BENTHAM SCIENCE PUBL LTD,TU,PHARMACOLOGY & PHARMACY,196/255,Q4,23.333
DOSE-RESPONSE,Dose-Response,Dose-Response,1559-3258,4,USA,ENGLISH,2006,TU VY,555,4,86,55,141,69,72,58,340,44,36,40,76,43,34,40,193,1.855,0.091,4.9,1.762,0.00141,0.16022,0.482,Q,WH001,SAGE PUBLICATIONS INC,TU,PHARMACOLOGY & PHARMACY,162/255,Q3,36.667
DRUG DEV IND PHARM,Drug Dev. Ind. Pharm.,DRUG DEVELOPMENT AND INDUSTRIAL PHARMACY,0363-9045,12,USA,ENGLISH,1974,DX TU,5118,102,449,537,986,355,332,251,1924,244,194,212,406,165,171,159,901,2.429,0.418,8.1,2.135,0.00445,0.5068,0.326,M,ZA501,TAYLOR & FRANCIS LTD,TU,PHARMACOLOGY & PHARMACY,121/255,Q2,52.745
DRUG DISCOV TODAY,Drug Discov. Today,DRUG DISCOVERY TODAY,1359-6446,12,ENGLAND,ENGLISH,1996,TU,10783,270,1091,1041,2132,1090,637,873,4732,165,233,146,379,158,122,114,773,5.625,1.636,6.5,6.122,0.02011,2.2917,1.720,M,JM451,ELSEVIER SCI LTD,TU,PHARMACOLOGY & PHARMACY,13/255,Q1,95.098
DRUG TEST ANAL,Drug Test. Anal.,Drug Testing and Analysis,1942-7603,12,ENGLAND,ENGLISH,2009,CO EA TU,1598,68,510,282,792,279,246,127,1444,131,157,120,277,141,102,72,592,2.859,0.519,2.8,2.439,0.00507,0.57801,0.566,M,FL501,WILEY-BLACKWELL,TU,PHARMACOLOGY & PHARMACY,86/255,Q2,66.471
EUR J CLIN PHARMACOL,Eur. J. Clin. Pharmacol.,EUROPEAN JOURNAL OF CLINICAL PHARMACOLOGY,0031-6970,12,GERMANY (FED REP GER),ENGLISH,1968,TU,6735,81,414,678,1092,562,429,348,2431,160,166,237,403,183,154,143,883,2.710,0.506,8.3,2.753,0.01021,1.16333,0.764,M,ZX651,SPRINGER HEIDELBERG,TU,PHARMACOLOGY & PHARMACY,93/255,Q2,63.725
PHYS THER SPORT,Phys. Ther. Sport,PHYSICAL THERAPY IN SPORT,1466-853X,4,ENGLAND,ENGLISH,2000,WC XW,742,23,57,58,115,99,78,87,379,50,38,35,73,40,27,22,162,1.575,0.460,5.6,2.340,0.00161,0.18321,0.656,Q,HI255,CHURCHILL LIVINGSTONE,WC,REHABILITATION,28/65,Q2,57.692
PHYSIOTHER CAN,Physiother. Can.,Physiotherapy Canada,0300-0508,4,CANADA,ENGLISH,1972,WC,577,15,22,32,54,62,35,67,218,44,43,45,88,38,39,44,209,0.614,0.341,7.8,1.043,0.00100,0.11374,0.316,Q,ZW901,UNIV TORONTO PRESS INC,WC,REHABILITATION,57/65,Q4,13.077
SUPPORT CARE CANCER,Support. Care Cancer,SUPPORTIVE CARE IN CANCER,0941-4355,12,USA,ENGLISH,1992,DM HL WC,7498,222,743,1166,1909,988,705,615,4217,383,362,391,753,391,236,188,1568,2.535,0.580,4.9,2.689,0.02032,2.31599,0.857,M,YK501,SPRINGER,WC,REHABILITATION,8/65,Q1,88.462
CAN RESPIR J,Can. Respir. J.,Canadian Respiratory Journal,1198-2241,4,USA,MULTI-LANGUAGE,1994,WE,941,14,32,99,131,94,122,87,434,46,52,77,129,52,49,35,265,1.016,0.304,6.4,1.638,0.00209,0.23831,0.522,Q,LM755,HINDAWI PUBLISHING CORP,WE,RESPIRATORY SYSTEM,53/58,Q4,9.483
EXP LUNG RES,Exp. Lung Res.,EXPERIMENTAL LUNG RESEARCH,0190-2148,10,USA,ENGLISH,1979,WE,1074,18,56,80,136,94,87,76,393,54,50,49,99,51,63,64,277,1.374,0.333,8.3,1.419,0.00170,0.19397,0.406,M,ZA463,TAYLOR & FRANCIS INC,WE,RESPIRATORY SYSTEM,48/58,Q4,18.103
HEART LUNG,Heart Lung,HEART & LUNG,0147-9563,6,USA,ENGLISH,1972,DQ RZ WE,1859,46,109,136,245,103,148,118,614,71,110,74,184,81,69,67,401,1.332,0.648,8.8,1.531,0.00289,0.32888,0.476,B,RD275,MOSBY-ELSEVIER,WE,RESPIRATORY SYSTEM,50/58,Q4,14.655
INT J TUBERC LUNG D,Int. J. Tuberc. Lung Dis.,INTERNATIONAL JOURNAL OF TUBERCULOSIS AND LUNG DISEASE,1027-3719,12,FRANCE,MULTI-LANGUAGE,1997,NN WE,6871,133,468,593,1061,674,576,509,2820,237,237,257,494,273,267,271,1305,2.148,0.561,7.1,2.161,0.01570,1.78941,0.796,M,NU245,INT UNION AGAINST TUBERCULOSIS LUNG DISEASE (I U A T L D),WE,RESPIRATORY SYSTEM,35/58,Q3,40.517
J CARDIOTHOR VASC AN,J. Cardiothorac. Vasc. Anesth.,JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA,1053-0770,7,USA,ENGLISH,1986,BA DQ WE ZD,3262,71,301,404,705,307,319,228,1559,267,258,206,464,189,191,155,999,1.519,0.266,6,1.561,0.00686,0.78215,0.454,B,ZY601,W B SAUNDERS CO-ELSEVIER INC,WE,RESPIRATORY SYSTEM,45/58,Q4,23.276
RESP PHYSIOL NEUROBI,Respir. Physiol. Neuro.,RESPIRATORY PHYSIOLOGY & NEUROBIOLOGY,1569-9048,15,NETHERLANDS,ENGLISH,2002,UM WE,5775,75,244,577,821,378,436,340,1975,138,183,280,463,172,218,178,1031,1.773,0.543,8.2,1.916,0.00955,1.08862,0.613,M,JM901,ELSEVIER SCIENCE BV,WE,RESPIRATORY SYSTEM,40/58,Q3,31.897
ANIM REPROD SCI,Anim. Reprod. Sci.,ANIMAL REPRODUCTION SCIENCE,0378-4320,12,NETHERLANDS,DUTCH,2000,AD WF,6119,60,278,332,610,354,449,502,1915,202,226,217,443,180,219,256,1098,1.377,0.297,8.5,1.744,0.00801,0.91245,0.482,M,JM901,ELSEVIER SCIENCE BV,WF,REPRODUCTIVE BIOLOGY,24/29,Q4,18.966
MAMMAL RES,Mammal Res.,Mammal Research,2199-2401,4,POLAND,ENGLISH,2015,ZM,16,15,1,0,1,0,0,0,1,44,0,0,0,0,0,0,0,,0.341,,,0.00000,0,,Q,ZX651,SPRINGER HEIDELBERG,ZM,ZOOLOGY,161/161,Q4,0.311
PACHYDERM,Pachyderm,PACHYDERM,1026-2881,2,KENYA,ENGLISH,1984,BD ZM,86,0,2,13,15,9,6,6,36,,16,21,37,12,21,17,87,0.405,,,0.414,0.00018,0.01999,0.133,H,AAV44,IUCN-SSC ASIAN ELEPHANT SPECIALIST GROUP,ZM,ZOOLOGY,144/161,Q4,10.87
PHYSIOL BIOCHEM ZOOL,Physiol. Biochem. Zool.,PHYSIOLOGICAL AND BIOCHEMICAL ZOOLOGY,1522-2152,6,USA,ENGLISH,1999,UM ZM,2669,27,155,138,293,176,148,218,835,57,77,69,146,64,57,90,357,2.007,0.474,8.7,2.339,0.00421,0.47983,0.780,B,ZU251,UNIV CHICAGO PRESS,ZM,ZOOLOGY,27/161,Q1,83.54
REDIA,Redia,REDIA-GIORNALE DI ZOOLOGIA,0370-4327,1,ITALY,ENGLISH,1917,ZM,398,1,5,19,24,14,3,6,47,22,26,13,39,13,24,16,92,0.615,0.045,>10,0.511,0.00018,0.02015,0.127,A,AAJ12,CRA-RESEARCH CENTRE AGROBIOLOGY & PEDOLOGY,ZM,ZOOLOGY,121/161,Q4,25.155
ZOOL SCR,Zool. Scr.,ZOOLOGICA SCRIPTA,0300-3256,6,ENGLAND,ENGLISH,1972,HT ZM,2015,40,122,124,246,129,135,131,641,49,49,41,90,44,46,46,226,2.733,0.816,8.9,2.836,0.00364,0.41507,1.066,B,FL501,WILEY-BLACKWELL,ZM,ZOOLOGY,12/161,Q1,92.857
ACTA GEODYN GEOMATER,Acta Geodyn. Geomater.,Acta Geodynamica et Geomaterialia,1214-9705,4,CZECH REPUBLIC,ENGLISH,2004,GC ZQ,195,5,15,31,46,26,28,15,115,39,34,48,82,47,40,42,211,0.561,0.128,4.7,0.545,0.00051,0.05802,0.160,Q,ABQ60,ACAD SCI CZECH REPUBLIC INST ROCK STRUCTURE & MECHANICS,ZQ,MINING & MINERAL PROCESSING,16/21,Q4,26.19
GOSPOD SUROWCAMI MIN,Gospod. Surowcami. Miner.,Gospodarka Surowcami Mineralnymi-Mineral Resources Management,0860-0953,4,POLAND,POLISH,1985,RE ZQ,188,3,10,41,51,12,19,21,103,40,41,49,90,38,38,35,201,0.567,0.075,5.4,0.512,0.00031,0.03552,0.103,Q,ABS51,"POLSKA AKAD NAUK, POLISH ACAD SCIENCES, MINER & ENERGY ECON",ZQ,MINING & MINERAL PROCESSING,15/21,Q3,30.952
MIN PROC EXT MET REV,Miner. Process Extr. Metall. Rev.,Mineral Processing and Extractive Metallurgy Review,0882-7508,6,USA,ENGLISH,1982,PZ ZQ,443,10,33,45,78,23,21,24,146,42,22,28,50,27,15,19,111,1.560,0.238,9.7,1.315,0.00063,0.07223,0.378,B,ZA463,TAYLOR & FRANCIS INC,ZQ,MINING & MINERAL PROCESSING,8/21,Q2,64.286
EUR J PHARM BIOPHARM,Eur. J. Pharm. Biopharm.,EUROPEAN JOURNAL OF PHARMACEUTICS AND BIOPHARMACEUTICS,0939-6411,9,NETHERLANDS,ENGLISH,1991,TU,12572,263,836,1211,2047,1092,1104,739,4982,319,242,273,515,234,202,184,1135,3.975,0.824,6.9,4.389,0.01603,1.82662,0.934,M,JM901,ELSEVIER SCIENCE BV,TU,PHARMACOLOGY & PHARMACY,45/255,Q1,82.549
EXPERT OPIN DRUG MET,Expert Opin. Drug Metab. Toxicol.,Expert Opinion on Drug Metabolism & Toxicology,1742-5255,12,ENGLAND,ENGLISH,2005,CQ TU,2720,109,288,351,639,320,274,241,1474,137,122,124,246,113,116,115,590,2.598,0.796,5.1,2.498,0.00618,0.70442,0.693,M,ZA501,TAYLOR & FRANCIS LTD,TU,PHARMACOLOGY & PHARMACY,101/255,Q2,60.588
EXPERT OPIN DRUG SAF,Expert Opin. Drug Saf.,Expert Opinion On Drug Safety,1474-0338,6,ENGLAND,ENGLISH,2002,TU,2076,134,429,214,643,237,188,153,1221,155,148,74,222,83,79,74,458,2.896,0.865,4.1,2.666,0.00553,0.62987,0.798,B,ZA501,TAYLOR & FRANCIS LTD,TU,PHARMACOLOGY & PHARMACY,83/255,Q2,67.647
EXPERT OPIN ORPHAN D,Exp. Opin. Orphan Drugs,Expert Opinion on Orphan Drugs,2167-8707,12,ENGLAND,ENGLISH,2013,TU,101,7,53,38,91,1,0,0,92,118,109,87,196,0,0,0,196,0.464,0.059,1.8,0.469,0.00042,0.04833,0.143,M,ZA501,TAYLOR & FRANCIS LTD,TU,PHARMACOLOGY & PHARMACY,244/255,Q4,4.51
EXPERT REV PHARM OUT,Expert Rev. Pharmacoecon. Outcomes Res.,Expert Review of Pharmacoeconomics & Outcomes Research,1473-7167,6,ENGLAND,ENGLISH,2001,HL TU,1061,22,105,138,243,164,149,130,686,86,78,71,149,71,67,65,352,1.631,0.256,4.7,1.949,0.00370,0.42118,0.694,B,ZA501,TAYLOR & FRANCIS LTD,TU,PHARMACOLOGY & PHARMACY,181/255,Q3,29.216
HIV CLIN TRIALS,HIV Clin. Trials,HIV CLINICAL TRIALS,1528-4336,6,ENGLAND,ENGLISH,2000,NN TU,667,11,47,72,119,71,64,57,311,27,27,34,61,36,35,34,166,1.951,0.407,6.2,1.873,0.00171,0.19515,0.682,B,ZA501,TAYLOR & FRANCIS LTD,TU,PHARMACOLOGY & PHARMACY,160/255,Q3,37.451
INT J MED MUSHROOMS,Int. J. Med. Mushrooms,INTERNATIONAL JOURNAL OF MEDICINAL MUSHROOMS,1521-9437,4,USA,ENGLISH,1998,RQ TU,869,22,60,92,152,117,85,88,442,113,56,56,112,53,61,44,270,1.357,0.195,5.7,1.637,0.00068,0.07701,0.165,Q,FE858,BEGELL HOUSE INC,TU,PHARMACOLOGY & PHARMACY,200/255,Q4,21.765
INT J PHARMACOL,Int. J. Pharmacol.,International Journal of Pharmacology,1811-7775,8,PAKISTAN,ENGLISH,2005,TU,515,29,28,32,60,66,98,103,327,116,54,58,112,90,117,131,450,0.536,0.250,5,0.727,0.00093,0.10614,0.137,B,AAN98,ASIAN NETWORK SCIENTIFIC INFORMATION-ANSINET,TU,PHARMACOLOGY & PHARMACY,241/255,Q4,5.686
J AM PHARM ASSOC,J. Am. Pharm. Assoc.,JOURNAL OF THE AMERICAN PHARMACISTS ASSOCIATION,1544-3191,6,USA,ENGLISH,2003,TU,1596,15,80,96,176,142,89,105,512,74,67,70,137,90,64,77,368,1.285,0.203,8.4,1.391,0.00191,0.21769,0.343,B,CU001,AMER PHARMACEUTICAL ASSOC,TU,PHARMACOLOGY & PHARMACY,206/255,Q4,19.412
J LIPOSOME RES,J. Liposome Res.,JOURNAL OF LIPOSOME RESEARCH,0898-2104,4,USA,ENGLISH,1988,CQ TU,825,7,60,73,133,89,52,75,349,33,37,37,74,36,39,38,187,1.797,0.212,7,1.866,0.00109,0.1242,0.385,Q,ZA501,TAYLOR & FRANCIS LTD,TU,PHARMACOLOGY & PHARMACY,167/255,Q3,34.706
HUM FERTIL,Hum. Fertil.,Human Fertility,1464-7273,4,ENGLAND,ENGLISH,1998,SD WF,411,21,32,48,80,24,24,60,188,37,41,40,81,26,31,34,172,0.988,0.568,5.9,1.093,0.00101,0.11458,0.386,Q,ZA501,TAYLOR & FRANCIS LTD,WF,REPRODUCTIVE BIOLOGY,28/29,Q4,5.172
J REPROD IMMUNOL,J. Reprod. Immunol.,JOURNAL OF REPRODUCTIVE IMMUNOLOGY,0165-0378,6,NETHERLANDS,ENGLISH,1979,NI WF,2447,23,140,225,365,158,301,238,1062,74,50,64,114,55,114,76,359,3.202,0.311,6.7,2.958,0.00475,0.54196,0.876,B,JN201,ELSEVIER IRELAND LTD,WF,REPRODUCTIVE BIOLOGY,6/29,Q1,81.034
PLANT REPROD,Plant Reprod.,Plant Reproduction,2194-7953,4,GERMANY (FED REP GER),ENGLISH,2013,DE WF,132,15,36,80,116,0,0,0,116,16,19,28,47,0,0,0,47,2.468,0.938,2.2,2.468,0.00069,0.07837,0.967,Q,YK501,SPRINGER,WF,REPRODUCTIVE BIOLOGY,13/29,Q2,56.897
REPROD BIOMED ONLINE,Reprod. Biomed. Online,REPRODUCTIVE BIOMEDICINE ONLINE,1472-6483,14,ENGLAND,ENGLISH,2000,SD WF,5301,134,449,457,906,534,501,528,2469,162,175,149,324,174,182,227,907,2.796,0.827,6.1,2.722,0.01199,1.36665,0.874,M,JM451,ELSEVIER SCI LTD,WF,REPRODUCTIVE BIOLOGY,11/29,Q2,63.793
REPROD SCI,Reprod. Sci.,Reproductive Sciences,1933-7191,12,USA,ENGLISH,2007,SD WF,2418,146,400,382,782,302,278,217,1579,184,161,161,322,144,129,120,715,2.429,0.793,3.9,2.208,0.00703,0.80149,0.650,M,WH001,SAGE PUBLICATIONS INC,WF,REPRODUCTIVE BIOLOGY,14/29,Q2,53.448
ACTA REUMATOL PORT,Acta Reumatol. Port.,Acta Reumatologica Portuguesa,0303-464X,23,PORTUGAL,PORTUGUESE,1973,WH,311,7,24,18,42,33,70,47,192,44,41,35,76,42,44,61,223,0.553,0.159,5.1,0.861,0.00076,0.08719,0.227,S,ABQ34,PUBLISAUDE-EDICOES MEDICAS LDA,WH,RHEUMATOLOGY,28/32,Q4,14.063
ANN RHEUM DIS,Ann. Rheum. Dis.,ANNALS OF THE RHEUMATIC DISEASES,0003-4967,12,ENGLAND,ENGLISH,1935,WH,35393,1154,3994,3585,7579,2784,3284,3221,16868,311,303,309,612,325,364,386,1687,12.384,3.711,5.9,9.999,0.07572,8.63033,2.968,M,FS001,BMJ PUBLISHING GROUP,WH,RHEUMATOLOGY,1/32,Q1,98.438
ARTHRITIS RES THER,Arthritis Res. Ther.,ARTHRITIS RESEARCH & THERAPY,1478-6354,6,ENGLAND,ENGLISH,2003,WH,12302,172,946,1171,2117,1421,1536,1374,6448,360,274,258,532,309,271,258,1370,3.979,0.478,5.7,4.707,0.02973,3.38809,1.435,B,FI745,BIOMED CENTRAL LTD,WH,RHEUMATOLOGY,8/32,Q1,76.563
ARTHRITIS RHEUM-US,Arthritis Rheum.,ARTHRITIS AND RHEUMATISM,0004-3591,12,USA,ENGLISH,1958,WH,45624,43,223,2741,2964,3581,2933,3114,12592,0,0,331,331,411,406,382,1530,8.955,,9.7,8.230,0.06752,7.69636,2.918,M,FL501,WILEY-BLACKWELL,WH,RHEUMATOLOGY,3/32,Q1,92.188
INT J RHEUM DIS,Int. J. Rheum. Dis.,International Journal of Rheumatic Diseases,1756-1841,7,AUSTRALIA,ENGLISH,1997,WH,1002,64,230,172,402,180,146,128,856,107,114,96,210,81,59,78,428,1.914,0.598,3.2,2.000,0.00336,0.38305,0.519,B,FL501,WILEY-BLACKWELL,WH,RHEUMATOLOGY,21/32,Q3,35.938
JOINT BONE SPINE,Joint Bone Spine,JOINT BONE SPINE,1297-319X,6,FRANCE,ENGLISH,2000,WH,2957,37,247,295,542,334,321,272,1469,71,79,105,184,107,113,121,525,2.946,0.521,5.9,2.798,0.00626,0.71321,0.788,B,JB243,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,WH,RHEUMATOLOGY,14/32,Q2,57.813
RHEUMATOLOGY,RHEUMATOLOGY,RHEUMATOLOGY,1462-0324,12,ENGLAND,ENGLISH,1999,WH,16065,300,1160,1351,2511,1409,1312,1477,6709,267,278,277,555,298,286,294,1433,4.524,1.124,6.9,4.682,0.03258,3.71328,1.503,M,TT001,OXFORD UNIV PRESS,WH,RHEUMATOLOGY,6/32,Q1,82.813
CAN WATER RESOUR J,Can. Water Resour. J.,Canadian Water Resources Journal,0701-1784,4,CANADA,ENGLISH,1975,ZR,468,8,24,32,56,32,32,40,160,26,31,24,55,21,20,30,126,1.018,0.308,8.6,1.270,0.00076,0.08644,0.398,Q,ZA463,TAYLOR & FRANCIS INC,ZR,WATER RESOURCES,56/85,Q3,34.706
